code,id,tree,tree position,tree id,tree position,row,Cultivar number ,Site,block,Cultivar,planting date,A1,B1,C1,D1,E1,A2,B2,C2,D2,E2,A3,B3,C3,D3,E3,A4,B4,C4,D4,E4,Heath,comments,,,,,,,,,
HMS52,S5-2,tree 1,110,S5-2-110,110,16,2,Scripps,5,Golden Delicious,April,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,gap,0,,,,,,,,
HMS52,S5-2,tree 2,112,S5-2-112,112,16,2,Scripps,5,Golden Delicious,April,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA,NA,NA,NA,2,gap,0,,,,,,,,
HMS53,S5-3,tree 1,134,S5-3-134,134,16,3,Scripps,5,Grenadier,April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,2,"dead, gap",0,,,,,,,,
HMS53,S5-3,tree 2,136,S5-3-136,136,16,3,Scripps,5,Grenadier,April,0,0,0,0,0,0,1,5,0,0,0,1,4,0,0,0,7,10,3,0,2,"dead, branches missing",0,,,,,,,,
HMS54,S5-4,tree 1,157,S5-4-157,157,16,4,Scripps,5,Gala,April,0,0,0,0,0,0,4,4,0,0,0,2,5,1,0,0,24,46,17,0,2,dead,0,,,,,,,,
HMS54,S5-4,tree 2,158,S5-4-158,158,16,4,Scripps,5,Gala,April,0,0,0,0,0,0,0,5,0,0,0,0,2,1,0,0,5,29,31,11,2,dead,0,,,,,,,,
HMS55,S5-5,tree 1,86,S5-5-86,86,16,5,Scripps,5,Braeburn,April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,11,0,1,nearly dead,0,,,,,,,,
HMS55,S5-5,tree 2,87,S5-5-87,87,16,5,Scripps,5,Braeburn,April,0,0,0,0,0,0,1,2,0,0,0,1,2,0,0,0,6,18,13,2,1,nearly dead,0,,,,,,,,
HMS56,S5-6,tree 1,100,S5-6-100,100,16,6,Scripps,5,Jazz,April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GD,0,,,,,,,,
HMS56,S5-6,tree 2,101,S5-6-101,101,16,6,Scripps,5,Jazz,April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,gap,0,,,,,,,,
HMS57,S5-7,tree 1,148,S5-7-148,148,16,7,Scripps,5,Kanzi,April,0,0,0,0,0,0,1,4,0,0,0,2,1,0,0,2,16,24,16,0,2,dead,0,,,,,,,,
