ID,tree position,row,Cultivar number ,Site,block,Cultivar,planting date,A1,B1,C1,D1,E1,A2,B2,C2,D2,E2,A3,B3,C3,D3,E3,A4,B4,C4,D4,E4,Heath,comments
A2-5-14,14,2,5,Avalon,2,Braeburn,April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
A2-5-15,15,2,5,Avalon,2,Braeburn,April,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,8,0,0,0,
A2-7 (GD)-16,16,2,7 (GD),Avalon,2,Golden Delicious,April,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,
A2-6-17,17,2,6,Avalon,2,Jazz,Dec,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,2,0,0,0,
A2-6-18,18,2,6,Avalon,2,Jazz,Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A2-6-19,19,2,6,Avalon,2,Jazz,Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
A2-6-20,20,2,6,Avalon,2,Jazz,Dec,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
A2-6-21,21,2,6,Avalon,2,Jazz,Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A2-6-22,22,2,6,Avalon,2,Jazz,Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A2-6-23,23,2,6,Avalon,2,Jazz,Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,
A2-6-24,24,2,6,Avalon,2,Jazz,Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
A2-5-25,25,2,5,Avalon,2,Braeburn,April,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,10,8,3,0,
A2-5-26,26,2,5,Avalon,2,Braeburn,April,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,11,0,0,0,
A2-5-27,27,2,5,Avalon,2,Braeburn,April,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,6,12,2,0,
A2-6-28,28,2,6,Avalon,2,Jazz,April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,
A2-6-29,29,2,6,Avalon,2,Jazz,April,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,5,9,0,0,
A2-6-30,30,2,6,Avalon,2,Jazz,April,0,1,0,0,0,0,1,2,0,0,0,2,1,0,0,0,9,12,9,0,0,
A2-6-31,31,2,6,Avalon,2,Jazz,April,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,
A2-6-32,32,2,6,Avalon,2,Jazz,April,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,12,8,0,0,
A2-8-33,33,2,8,Avalon,2,Rubens,Dec,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,0,
A2-8-34,34,2,8,Avalon,2,Rubens,Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,
A2-8-35,35,2,8,Avalon,2,Rubens,Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,
A2-8-36,36,2,8,Avalon,2,Rubens,Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,
A2-8-37,37,2,8,Avalon,2,Rubens,Dec,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,9,21,17,0,0,
A2-8-38,38,2,8,Avalon,2,Rubens,Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,1,0,
A2-8-39,39,2,8,Avalon,2,Rubens,Dec,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,10,1,0,0,
A2-8-40,40,2,8,Avalon,2,Rubens,Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,3,0,0,
A2-8-41,41,2,8,Avalon,2,Rubens,April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,
A2-8-42,42,2,8,Avalon,2,Rubens,April,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,6,10,0,0,
A2-8-43,43,2,8,Avalon,2,Rubens,April,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0,
A2-8-44,44,2,8,Avalon,2,Rubens,April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
