Well,Target,Content,Replicate,Sample,Dilution,Cq,PlateID,Concentration,Efficiency,TCN,CqAdjusted,AdjustedTCN,mg,TCN_mg,AdjustedTCN_mg
L16,16S,Unkn,84,S2-7,200,15.7137727847041,plate 2,0.005,2.0275885681230124,1.3785684769202477e8,15.7137727847041,1.3785684769202477e8,171.1,4.028546104384125e7,4.028546104384125e7
L17,16S,Unkn,84,S2-7,200,15.8666801934721,plate 2,0.005,2.0275885681230124,1.2393798636587659e8,15.8666801934721,1.2393798636587659e8,171.1,3.621799718465125e7,3.621799718465125e7
L18,16S,Unkn,84,S2-7,200,15.8038676105687,plate 2,0.005,2.0275885681230124,1.294770150935671e8,15.8038676105687,1.294770150935671e8,171.1,3.783664964744801e7,3.783664964744801e7
M01,ITS,Unkn,13,S2-8,100,19.6870545839594,plate 2,0.01,1.8767299817912335,6.37323007349784e7,17.880198262112952,8.93864335805951e7,154.7,2.059867509210679e7,2.889025002604884e7
M02,ITS,Unkn,13,S2-8,100,19.9484027961958,plate 2,0.01,1.8767299817912335,5.38215562326032e7,18.117560221481064,7.582606872479227e7,154.7,1.7395460967227925e7,2.45074559550072e7
M03,ITS,Unkn,13,S2-8,100,20.0928971000917,plate 2,0.01,1.8767299817912335,4.901996310297848e7,18.248792996317263,6.923306180139944e7,154.7,1.5843556271163052e7,2.237655520407222e7
M04,ITS,Unkn,29,S2-8,200,20.9438896005571,plate 2,0.005,1.8767299817912335,5.6544410821531914e7,19.021682336518015,8.103649702431011e7,154.7,1.8275504467204887e7,2.6191498715032358e7
M05,ITS,Unkn,29,S2-8,200,20.9849369445516,plate 2,0.005,1.8767299817912335,5.5063137700464845e7,19.058962400207825,7.896929157841997e7,154.7,1.7796747802348044e7,2.5523365086755e7
M06,ITS,Unkn,29,S2-8,200,21.1026883859382,plate 2,0.005,1.8767299817912335,5.102567939658317e7,19.16590674318524,7.332714684266299e7,154.7,1.6491816223847179e7,2.3699788895495474e7
M13,16S,Unkn,69,S2-8,100,14.6185426930235,plate 2,0.01,2.0095897400219496,1.477360182551637e8,14.6185426930235,1.477360182551637e8,154.7,4.77491978846683e7,4.77491978846683e7
M14,16S,Unkn,69,S2-8,100,14.6806273484021,plate 2,0.01,2.0095897400219496,1.4148754118812332e8,14.6806273484021,1.4148754118812332e8,154.7,4.5729651321306825e7,4.5729651321306825e7
M15,16S,Unkn,69,S2-8,100,14.6708756245703,plate 2,0.01,2.0095897400219496,1.4245121091555148e8,14.6708756245703,1.4245121091555148e8,154.7,4.60411153573211e7,4.60411153573211e7
M16,16S,Unkn,85,S2-8,200,15.67355640139,plate 2,0.005,2.0095897400219496,1.4177046231473622e8,15.67355640139,1.4177046231473622e8,154.7,4.58210931851119e7,4.58210931851119e7
M17,16S,Unkn,85,S2-8,200,15.6557743428327,plate 2,0.005,2.0095897400219496,1.4353614288760808e8,15.6557743428327,1.4353614288760808e8,154.7,4.639177210329932e7,4.639177210329932e7
M18,16S,Unkn,85,S2-8,200,15.6201538031222,plate 2,0.005,2.0095897400219496,1.4713952860298225e8,15.6201538031222,1.4713952860298225e8,154.7,4.755640872753143e7,4.755640872753143e7
A01,ITS,Unkn,1,A1-2,100,20.3069285231105,plate 3,0.01,1.8907102559818758,4.710788820085708e7,18.660611159822007,5.749727201333223e7,140.9,1.671678076680521e7,2.0403574170806326e7
A02,ITS,Unkn,1,A1-2,100,20.2892266423082,plate 3,0.01,1.8907102559818758,4.7650325132033825e7,18.644344400716943,5.81492372326873e7,140.9,1.690927080625757e7,2.063493159428222e7
